time,data
120500000125.0,"[-0.147, 0.0, -0.267]"
120900000129.0,"[-0.14, 0.0, -0.276]"
130000000130.0,"[-0.14, 0.0, -0.276]"
130400000134.0,"[-0.13, 0.0, -0.293]"
130800000138.0,"[-0.131, 0.0, -0.3]"
140000000140.0,"[-0.122, 0.0, -0.3]"
140400000144.0,"[-0.135, 0.0, -0.3]"
140800000148.0,"[-0.123, 0.0, -0.3]"
150000000150.0,"[-0.087, 0.0, -0.3]"
150400000154.0,"[-0.074, 0.0, -0.3]"
150800000158.0,"[-0.138, 0.0, -0.3]"
160000000160.0,"[-0.051, 0.0, -0.3]"
160400000164.0,"[-0.133, 0.0, -0.3]"
160800000168.0,"[-0.136, 0.0, -0.3]"
170000000170.0,"[-0.06, 0.0, -0.3]"
170400000174.0,"[-0.029, 0.0, -0.3]"
170800000178.0,"[-0.111, 0.0, -0.3]"
180000000180.0,"[-0.052, 0.0, -0.3]"
180400000184.0,"[0.08, 0.0, -0.3]"
180800000188.0,"[0.077, 0.0, -0.3]"
190000000190.0,"[0.086, 0.0, -0.3]"
190400000194.0,"[0.101, 0.0, -0.3]"
190800000198.0,"[0.112, 0.0, -0.274]"
200000000200.0,"[0.135, 0.0, -0.249]"
200400000204.0,"[0.146, 0.0, -0.215]"
200800000208.0,"[0.143, 0.0, -0.209]"
210000000210.0,"[0.144, 0.0, -0.206]"
210400000214.0,"[0.156, 0.0, -0.201]"
210800000218.0,"[0.156, 0.0, -0.055]"
220000000220.0,"[0.16, 0.0, 0.089]"
220400000224.0,"[0.156, 0.0, -0.07]"
220800000228.0,"[0.166, 0.0, 0.08]"
230000000230.0,"[0.166, 0.0, 0.08]"
230400000234.0,"[0.163, 0.0, 0.052]"
230800000238.0,"[0.157, 0.0, -0.071]"
240000000240.0,"[0.156, 0.0, 0.066]"
240400000244.0,"[0.165, 0.0, -0.05]"
240800000248.0,"[0.162, 0.0, 0.053]"
250000000250.0,"[0.164, 0.0, 0.082]"
250400000254.0,"[0.162, 0.0, -0.072]"
250800000258.0,"[0.164, 0.0, 0.077]"
260000000260.0,"[0.165, 0.0, 0.045]"
260400000264.0,"[0.164, 0.0, 0.036]"
260800000268.0,"[0.164, 0.0, 0.015]"
270000000270.0,"[0.162, 0.0, -0.068]"
270400000274.0,"[0.164, 0.0, 0.081]"
270800000278.0,"[0.16, 0.0, -0.053]"
280000000280.0,"[0.162, 0.0, -0.065]"
280400000284.0,"[0.161, 0.0, -0.036]"
280800000288.0,"[0.163, 0.0, 0.085]"
290000000290.0,"[0.165, 0.0, 0.024]"
290400000294.0,"[0.163, 0.0, 0.013]"
290800000298.0,"[0.163, 0.0, 0.018]"
300000000300.0,"[0.164, 0.0, -0.057]"
300400000304.0,"[0.163, 0.0, 0.065]"
300800000308.0,"[0.16, 0.0, -0.1]"
310000000310.0,"[0.162, 0.0, 0.025]"
310400000314.0,"[0.163, 0.0, -0.016]"
310800000318.0,"[0.16, 0.0, 0.072]"
320000000320.0,"[0.163, 0.0, -0.029]"
320400000324.0,"[0.162, 0.0, 0.102]"
320800000328.0,"[0.163, 0.0, -0.018]"
330000000330.0,"[0.163, 0.0, -0.079]"
330400000334.0,"[0.163, 0.0, 0.072]"
330800000338.0,"[0.161, 0.0, -0.055]"
340000000340.0,"[0.163, 0.0, 0.037]"
340400000344.0,"[0.162, 0.0, -0.008]"
340800000348.0,"[0.16, 0.0, 0.087]"
350000000350.0,"[0.164, 0.0, 0.077]"
350400000354.0,"[0.154, 0.0, -0.044]"
350800000358.0,"[0.157, 0.0, -0.018]"
360000000360.0,"[0.157, 0.0, 0.011]"
360400000364.0,"[0.164, 0.0, 0.029]"
360800000368.0,"[0.162, 0.0, -0.07]"
370000000370.0,"[0.162, 0.0, 0.081]"
370400000374.0,"[0.162, 0.0, -0.09]"
370800000378.0,"[0.162, 0.0, 0.046]"
380000000380.0,"[0.162, 0.0, 0.023]"
380400000384.0,"[0.162, 0.0, 0.046]"
380800000388.0,"[0.162, 0.0, 0.007]"
390000000390.0,"[0.162, 0.0, -0.013]"
390400000394.0,"[0.163, 0.0, 0.008]"
390800000398.0,"[0.164, 0.0, 0.019]"
400000000400.0,"[0.163, 0.0, 0.012]"
400400000404.0,"[0.161, 0.0, 0.057]"
400800000408.0,"[0.163, 0.0, 0.034]"
410000000410.0,"[0.163, 0.0, -0.038]"
410400000414.0,"[0.163, 0.0, 0.1]"
410800000418.0,"[0.163, 0.0, -0.033]"
420000000420.0,"[0.161, 0.0, 0.023]"
420400000424.0,"[0.155, 0.0, -0.069]"
420800000428.0,"[0.164, 0.0, 0.069]"
430000000430.0,"[0.163, 0.0, 0.052]"
430400000434.0,"[0.162, 0.0, 0.014]"
430800000438.0,"[0.162, 0.0, -0.078]"
440000000440.0,"[0.161, 0.0, 0.072]"
440400000444.0,"[0.16, 0.0, -0.043]"
440800000448.0,"[0.162, 0.0, -0.008]"
450000000450.0,"[0.161, 0.0, -0.044]"
450400000454.0,"[0.162, 0.0, 0.08]"
450800000458.0,"[0.161, 0.0, -0.04]"
460000000460.0,"[0.161, 0.0, 0.009]"
460400000464.0,"[0.163, 0.0, -0.025]"
460800000468.0,"[0.161, 0.0, 0.101]"
470000000470.0,"[0.163, 0.0, 0.053]"
470400000474.0,"[0.161, 0.0, -0.086]"
470800000478.0,"[0.161, 0.0, 0.065]"
480000000480.0,"[0.163, 0.0, 0.087]"
480400000484.0,"[0.16, 0.0, -0.053]"
480800000488.0,"[0.162, 0.0, -0.058]"
490000000490.0,"[0.162, 0.0, 0.009]"
490400000494.0,"[0.16, 0.0, -0.054]"
490800000498.0,"[0.161, 0.0, 0.004]"
500000000500.0,"[0.163, 0.0, -0.047]"
500400000504.0,"[0.162, 0.0, 0.083]"
500800000508.0,"[0.161, 0.0, -0.075]"
510000000510.0,"[0.162, 0.0, -0.074]"
510400000514.0,"[0.162, 0.0, -0.005]"
510800000518.0,"[0.16, 0.0, 0.022]"
520000000520.0,"[0.163, 0.0, 0.013]"
520400000524.0,"[0.163, 0.0, 0.087]"
520800000528.0,"[0.161, 0.0, -0.06]"
530000000530.0,"[0.16, 0.0, -0.04]"
530400000534.0,"[0.161, 0.0, 0.053]"
530800000538.0,"[0.158, 0.0, -0.043]"
540000000540.0,"[0.162, 0.0, -0.016]"
540400000544.0,"[0.162, 0.0, 0.064]"
540800000548.0,"[0.162, 0.0, -0.025]"
550000000550.0,"[0.155, 0.0, -0.059]"
550400000554.0,"[0.164, 0.0, 0.094]"
550800000558.0,"[0.161, 0.0, 0.064]"
560000000560.0,"[0.162, 0.0, -0.035]"
