time,data
130400000134.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
130800000138.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
140000000140.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
140400000144.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
140800000148.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
150000000150.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
150400000154.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
150800000158.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
160000000160.0,"{'position': [13.41, -7.09, -1.57], 'velocity': [0.0, 0.0, 0.0]}"
160400000164.0,"{'position': [13.398, -7.154, -2.139], 'velocity': [-0.08, -0.205, -1.964]}"
160800000168.0,"{'position': [13.333, -7.211, -2.888], 'velocity': [-0.2, -0.092, -1.798]}"
170000000170.0,"{'position': [13.268, -7.216, 2.931], 'velocity': [-0.219, 0.016, -1.374]}"
170400000174.0,"{'position': [13.206, -7.195, 2.596], 'velocity': [-0.198, 0.095, -0.988]}"
170800000178.0,"{'position': [13.137, -7.141, 2.319], 'velocity': [-0.159, 0.152, -0.597]}"
180000000180.0,"{'position': [13.094, -7.09, 2.153], 'velocity': [-0.131, 0.177, -0.555]}"
180400000184.0,"{'position': [13.061, -7.033, 2.007], 'velocity': [-0.102, 0.195, -0.446]}"
180800000188.0,"{'position': [13.029, -6.952, 1.846], 'velocity': [-0.067, 0.21, -0.337]}"
190000000190.0,"{'position': [13.013, -6.887, 1.791], 'velocity': [-0.046, 0.215, 0.117]}"
190400000194.0,"{'position': [12.998, -6.823, 1.848], 'velocity': [-0.056, 0.213, 0.186]}"
190800000198.0,"{'position': [12.964, -6.719, 1.929], 'velocity': [-0.074, 0.207, 0.153]}"
200000000200.0,"{'position': [12.948, -6.678, 1.923], 'velocity': [-0.08, 0.205, -0.209]}"
200400000204.0,"{'position': [12.921, -6.594, 1.894], 'velocity': [-0.067, 0.21, 0.135]}"
200800000208.0,"{'position': [12.891, -6.511, 1.949], 'velocity': [-0.078, 0.206, 0.139]}"
210000000210.0,"{'position': [12.883, -6.491, 1.963], 'velocity': [-0.081, 0.204, 0.141]}"
210400000214.0,"{'position': [12.851, -6.409, 1.883], 'velocity': [-0.072, 0.208, -0.22]}"
210800000218.0,"{'position': [12.823, -6.325, 1.936], 'velocity': [-0.076, 0.207, 0.143]}"
