episode,start,goal
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
0,"[13.41, -7.09, -1.57]","[-3.1, 11.95, -2]"
