time,data
120000000120.0,
120400000124.0,
120800000128.0,"[-0.219, 0.0, -0.09]"
130000000130.0,"[-0.219, 0.0, -0.09]"
130400000134.0,"[-0.219, 0.0, -0.09]"
130800000138.0,"[-0.199, 0.0, 0.0]"
140000000140.0,"[-0.178, 0.0, -0.254]"
140400000144.0,"[-0.178, 0.0, -0.254]"
140800000148.0,"[-0.188, 0.0, -0.115]"
150000000150.0,"[-0.172, 0.0, -0.287]"
150400000154.0,"[-0.172, 0.0, -0.287]"
150800000158.0,"[-0.172, 0.0, -0.287]"
160000000160.0,"[-0.123, 0.0, -0.591]"
160400000164.0,"[-0.123, 0.0, -0.591]"
160800000168.0,"[-0.123, 0.0, -0.591]"
170000000170.0,"[0.145, 0.0, -0.911]"
170400000174.0,"[0.145, 0.0, -0.911]"
170800000178.0,"[0.111, 0.0, -0.689]"
180000000180.0,"[0.111, 0.0, -0.689]"
180400000184.0,"[0.111, 0.0, -0.689]"
180800000188.0,"[0.172, 0.096, -0.386]"
190000000190.0,"[0.172, 0.096, -0.386]"
190400000194.0,"[0.172, 0.096, -0.386]"
190800000198.0,"[0.127, 0.171, -0.115]"
200000000200.0,"[0.127, 0.171, -0.115]"
200400000204.0,"[0.127, 0.171, -0.115]"
200800000208.0,"[0.174, 0.127, 0.172]"
210000000210.0,"[0.22, 0.0, 0.459]"
210400000214.0,"[0.22, 0.0, 0.459]"
210800000218.0,"[0.213, 0.0, 0.271]"
220000000220.0,"[0.163, 0.0, 0.082]"
220400000224.0,"[0.163, 0.0, 0.082]"
220800000228.0,"[0.165, 0.0, 0.025]"
230000000230.0,"[0.161, 0.0, 0.066]"
230400000234.0,"[0.161, 0.0, 0.066]"
230800000238.0,"[0.158, 0.0, -0.041]"
240000000240.0,"[0.159, 0.0, -0.0]"
240400000244.0,"[0.159, 0.0, -0.0]"
240800000248.0,"[0.159, 0.0, -0.0]"
250000000250.0,"[0.181, 0.0, 0.041]"
250400000254.0,"[0.181, 0.0, 0.041]"
250800000258.0,"[0.169, 0.0, -0.066]"
260000000260.0,"[0.169, 0.0, -0.066]"
260400000264.0,"[0.169, 0.0, -0.066]"
260800000268.0,"[0.181, 0.0, 0.025]"
270000000270.0,"[0.181, 0.0, 0.025]"
270400000274.0,"[0.181, 0.0, 0.025]"
270800000278.0,"[0.175, 0.0, 0.066]"
280000000280.0,"[0.175, 0.0, 0.066]"
280400000284.0,"[0.175, 0.0, 0.066]"
280800000288.0,"[0.168, 0.0, -0.025]"
290000000290.0,"[0.17, 0.0, -0.098]"
290400000294.0,"[0.17, 0.0, -0.098]"
290800000298.0,"[0.179, 0.0, 0.041]"
300000000300.0,"[0.179, 0.0, 0.041]"
300400000304.0,"[0.179, 0.0, 0.041]"
300800000308.0,"[0.179, 0.0, 0.041]"
310000000310.0,"[0.172, 0.0, -0.016]"
310400000314.0,"[0.172, 0.0, -0.016]"
310800000318.0,"[0.172, 0.0, -0.016]"
320000000320.0,"[0.176, 0.0, 0.074]"
320400000324.0,"[0.176, 0.0, 0.074]"
320800000328.0,"[0.17, 0.0, -0.033]"
330000000330.0,"[0.17, 0.0, -0.033]"
330400000334.0,"[0.17, 0.0, -0.033]"
330800000338.0,"[0.174, 0.0, 0.025]"
340000000340.0,"[0.174, 0.0, 0.025]"
340400000344.0,"[0.174, 0.0, 0.025]"
340800000348.0,"[0.169, 0.0, -0.049]"
350000000350.0,"[0.169, 0.0, -0.049]"
350400000354.0,"[0.169, 0.0, -0.049]"
350800000358.0,"[0.175, 0.0, 0.025]"
360000000360.0,"[0.174, 0.0, 0.066]"
360400000364.0,"[0.174, 0.0, 0.066]"
360800000368.0,"[0.17, 0.0, 0.156]"
370000000370.0,"[0.165, 0.0, -0.066]"
370400000374.0,"[0.165, 0.0, -0.066]"
370800000378.0,"[0.168, 0.0, 0.008]"
380000000380.0,"[0.168, 0.0, 0.008]"
380400000384.0,"[0.168, 0.0, 0.008]"
380800000388.0,"[0.168, 0.0, 0.008]"
390000000390.0,"[0.167, 0.0, 0.131]"
390400000394.0,"[0.167, 0.0, 0.131]"
390800000398.0,"[0.156, 0.0, -0.156]"
400000000400.0,"[0.156, 0.0, -0.156]"
400400000404.0,"[0.156, 0.0, -0.156]"
400800000408.0,"[0.171, 0.0, -0.148]"
410000000410.0,"[0.171, 0.0, -0.148]"
410400000414.0,"[0.171, 0.0, -0.148]"
410800000418.0,"[0.192, 0.0, 0.139]"
420000000420.0,"[0.192, 0.0, 0.139]"
420400000424.0,"[0.192, 0.0, 0.139]"
420800000428.0,"[0.192, 0.0, 0.139]"
430000000430.0,"[0.165, 0.0, 0.049]"
430400000434.0,"[0.165, 0.0, 0.049]"
430800000438.0,"[0.17, 0.0, 0.074]"
440000000440.0,"[0.17, 0.0, 0.074]"
440400000444.0,"[0.17, 0.0, 0.074]"
440800000448.0,"[0.158, 0.0, -0.115]"
450000000450.0,"[0.165, 0.0, -0.074]"
450400000454.0,"[0.165, 0.0, -0.074]"
450800000458.0,"[0.169, 0.0, -0.033]"
460000000460.0,"[0.169, 0.0, -0.033]"
460400000464.0,"[0.169, 0.0, -0.033]"
460800000468.0,"[0.173, 0.0, 0.107]"
470000000470.0,"[0.169, 0.0, -0.049]"
470400000474.0,"[0.169, 0.0, -0.049]"
470800000478.0,"[0.171, 0.0, -0.025]"
480000000480.0,"[0.172, 0.0, 0.082]"
480400000484.0,"[0.172, 0.0, 0.082]"
480800000488.0,"[0.168, 0.0, -0.008]"
490000000490.0,"[0.167, 0.0, 0.131]"
490400000494.0,"[0.167, 0.0, 0.131]"
490800000498.0,"[0.167, 0.0, 0.131]"
500000000500.0,"[0.133, 0.0, -0.123]"
500400000504.0,"[0.133, 0.0, -0.123]"
500800000508.0,"[0.133, 0.0, -0.123]"
510000000510.0,"[0.179, 0.0, -0.0]"
510400000514.0,"[0.179, 0.0, -0.0]"
510800000518.0,"[0.16, 0.0, 0.008]"
520000000520.0,"[0.17, 0.0, 0.082]"
520400000524.0,"[0.17, 0.0, 0.082]"
520800000528.0,"[0.159, 0.0, -0.008]"
530000000530.0,"[0.159, 0.0, -0.008]"
530400000534.0,"[0.159, 0.0, -0.008]"
530800000538.0,"[0.162, 0.0, -0.033]"
540000000540.0,"[0.162, 0.0, -0.033]"
540400000544.0,"[0.162, 0.0, -0.033]"
540800000548.0,"[0.164, 0.0, -0.025]"
550000000550.0,"[0.164, 0.0, -0.025]"
550400000554.0,"[0.164, 0.0, -0.025]"
550800000558.0,"[0.167, 0.0, 0.082]"
560000000560.0,"[0.164, 0.0, 0.008]"
560400000564.0,"[0.164, 0.0, 0.008]"
560800000568.0,"[0.162, 0.0, -0.0]"
570000000570.0,"[0.162, 0.0, -0.0]"
570400000574.0,"[0.162, 0.0, -0.0]"
570800000578.0,"[0.163, 0.0, -0.025]"
580000000580.0,"[0.163, 0.0, -0.025]"
580400000584.0,"[0.163, 0.0, -0.025]"
580800000588.0,"[0.166, 0.0, 0.033]"
590000000590.0,"[0.166, 0.0, 0.033]"
590400000594.0,"[0.166, 0.0, 0.033]"
590800000598.0,"[0.162, 0.0, 0.0]"
600000000600.0,"[0.162, 0.0, 0.0]"
600400000604.0,"[0.162, 0.0, 0.0]"
600800000608.0,"[0.163, 0.0, -0.008]"
610000000610.0,"[0.163, 0.0, -0.008]"
610400000614.0,"[0.163, 0.0, -0.008]"
610800000618.0,"[0.164, 0.0, 0.016]"
620000000620.0,"[0.164, 0.0, 0.016]"
620400000624.0,"[0.164, 0.0, 0.016]"
620800000628.0,"[0.161, 0.0, -0.107]"
630000000630.0,"[0.161, 0.0, -0.107]"
630400000634.0,"[0.161, 0.0, -0.107]"
630800000638.0,"[0.171, 0.0, 0.066]"
640000000640.0,"[0.171, 0.0, 0.066]"
640400000644.0,"[0.171, 0.0, 0.066]"
640800000648.0,"[0.171, 0.0, 0.066]"
650000000650.0,"[0.158, 0.0, 0.041]"
650400000654.0,"[0.158, 0.0, 0.041]"
650800000658.0,"[0.16, 0.0, 0.148]"
660000000660.0,"[0.16, 0.0, 0.148]"
660400000664.0,"[0.16, 0.0, 0.148]"
660800000668.0,"[0.146, 0.0, 0.025]"
670000000670.0,"[0.151, 0.0, 0.016]"
670400000674.0,"[0.151, 0.0, 0.016]"
670800000678.0,"[0.151, 0.0, 0.016]"
680000000680.0,"[0.127, 0.0, -0.074]"
680400000684.0,"[0.127, 0.0, -0.074]"
680800000688.0,"[0.167, 0.0, -0.033]"
690000000690.0,"[0.167, 0.0, -0.033]"
690400000694.0,"[0.167, 0.0, -0.033]"
690800000698.0,"[0.125, 0.0, 0.139]"
700000000700.0,"[0.125, 0.0, 0.139]"
700400000704.0,"[0.125, 0.0, 0.139]"
700800000708.0,"[0.125, 0.0, 0.139]"
710000000710.0,"[0.156, 0.0, -0.164]"
710400000714.0,"[0.156, 0.0, -0.164]"
710800000718.0,"[0.137, 0.0, -0.074]"
720000000720.0,"[0.136, 0.0, 0.033]"
720400000724.0,"[0.136, 0.0, 0.033]"
720800000728.0,"[0.157, 0.0, 0.074]"
730000000730.0,"[0.157, 0.0, 0.074]"
730400000734.0,"[0.157, 0.0, 0.074]"
730800000738.0,"[0.157, 0.0, 0.074]"
740000000740.0,"[0.132, 0.0, -0.164]"
740400000744.0,"[0.132, 0.0, -0.164]"
740800000748.0,"[0.155, 0.0, -0.057]"
750000000750.0,"[0.155, 0.0, -0.057]"
750400000754.0,"[0.155, 0.0, -0.057]"
750800000758.0,"[0.149, 0.0, 0.082]"
760000000760.0,"[0.149, 0.0, 0.082]"
760400000764.0,"[0.149, 0.0, 0.082]"
760800000768.0,"[0.149, 0.0, 0.082]"
770000000770.0,"[0.145, 0.0, -0.139]"
770400000774.0,"[0.145, 0.0, -0.139]"
770800000778.0,"[0.145, 0.0, -0.139]"
780000000780.0,"[0.158, 0.0, 0.049]"
780400000784.0,"[0.158, 0.0, 0.049]"
780800000788.0,"[0.158, 0.0, 0.049]"
790000000790.0,"[0.149, 0.121, -0.238]"
790400000794.0,"[0.149, 0.121, -0.238]"
790800000798.0,"[0.162, 0.12, -0.181]"
800000000800.0,"[0.169, 0.0, 0.123]"
800400000804.0,"[0.169, 0.0, 0.123]"
800800000808.0,"[0.163, 0.0, 0.213]"
810000000810.0,"[0.157, 0.0, -0.057]"
810400000814.0,"[0.157, 0.0, -0.057]"
810800000818.0,"[0.159, 0.0, 0.049]"
820000000820.0,"[0.159, 0.0, 0.049]"
820400000824.0,"[0.159, 0.0, 0.049]"
820800000828.0,"[0.116, 0.0, 0.025]"
830000000830.0,"[0.116, 0.0, 0.025]"
830400000834.0,"[0.116, 0.0, 0.025]"
830800000838.0,"[0.179, 0.0, 0.049]"
840000000840.0,"[0.179, 0.0, 0.049]"
840400000844.0,"[0.179, 0.0, 0.049]"
840800000848.0,"[0.179, 0.0, 0.049]"
850000000850.0,"[0.131, 0.0, -0.041]"
850400000854.0,"[0.131, 0.0, -0.041]"
850800000858.0,"[0.131, 0.0, -0.041]"
860000000860.0,"[0.145, 0.0, -0.016]"
860400000864.0,"[0.145, 0.0, -0.016]"
860800000868.0,"[0.145, 0.0, -0.016]"
870000000870.0,"[0.159, 0.0, -0.008]"
870400000874.0,"[0.159, 0.0, -0.008]"
