time,data
120000000120.0,"{'position': [13.423, -6.871, -1.686], 'velocity': [0.024, 0.219, -0.066]}"
120400000124.0,"{'position': [13.434, -6.784, -1.712], 'velocity': [0.03, 0.218, -0.066]}"
120800000128.0,"{'position': [13.447, -6.697, -1.743], 'velocity': [0.036, 0.216, -0.09]}"
130000000130.0,"{'position': [13.455, -6.654, -1.761], 'velocity': [0.04, 0.215, -0.09]}"
130400000134.0,"{'position': [13.473, -6.568, -1.797], 'velocity': [0.047, 0.214, -0.09]}"
130800000138.0,"{'position': [13.493, -6.485, -1.824], 'velocity': [0.05, 0.193, 0.0]}"
140000000140.0,"{'position': [13.503, -6.446, -1.824], 'velocity': [0.05, 0.193, 0.0]}"
140400000144.0,"{'position': [13.523, -6.376, -1.901], 'velocity': [0.053, 0.17, -0.254]}"
140800000148.0,"{'position': [13.556, -6.291, -2.0], 'velocity': [0.076, 0.172, -0.115]}"
150000000150.0,"{'position': [13.572, -6.257, -2.023], 'velocity': [0.08, 0.17, -0.115]}"
150400000154.0,"{'position': [13.605, -6.197, -2.138], 'velocity': [0.088, 0.147, -0.287]}"
150800000158.0,"{'position': [13.644, -6.14, -2.253], 'velocity': [0.104, 0.136, -0.287]}"
160000000160.0,"{'position': [13.655, -6.127, -2.281], 'velocity': [0.108, 0.133, -0.287]}"
160400000164.0,"{'position': [13.693, -6.088, -2.487], 'velocity': [0.093, 0.08, -0.591]}"
160800000168.0,"{'position': [13.734, -6.062, -2.724], 'velocity': [0.109, 0.056, -0.591]}"
170000000170.0,"{'position': [13.757, -6.053, -2.842], 'velocity': [0.115, 0.043, -0.591]}"
170400000174.0,"{'position': [13.725, -6.056, 3.109], 'velocity': [-0.145, -0.009, -0.911]}"
170800000178.0,"{'position': [13.655, -6.04, 2.654], 'velocity': [-0.134, 0.056, -0.911]}"
180000000180.0,"{'position': [13.645, -6.035, 2.585], 'velocity': [-0.098, 0.052, -0.689]}"
180400000184.0,"{'position': [13.61, -6.008, 2.309], 'velocity': [-0.081, 0.077, -0.689]}"
180800000188.0,"{'position': [13.579, -5.962, 1.964], 'velocity': [-0.05, 0.1, -0.689]}"
190000000190.0,"{'position': [13.572, -5.946, 1.926], 'velocity': [-0.066, 0.159, -0.386]}"
190400000194.0,"{'position': [13.549, -5.864, 1.733], 'velocity': [-0.034, 0.168, -0.386]}"
190800000198.0,"{'position': [13.541, -5.795, 1.579], 'velocity': [-0.008, 0.172, -0.386]}"
200000000200.0,"{'position': [13.541, -5.783, 1.567], 'velocity': [-0.001, 0.127, -0.115]}"
200400000204.0,"{'position': [13.542, -5.732, 1.521], 'velocity': [0.005, 0.127, -0.115]}"
200800000208.0,"{'position': [13.546, -5.676, 1.504], 'velocity': [0.015, 0.173, 0.172]}"
210000000210.0,"{'position': [13.548, -5.642, 1.539], 'velocity': [0.009, 0.173, 0.172]}"
210400000214.0,"{'position': [13.547, -5.558, 1.694], 'velocity': [-0.017, 0.219, 0.459]}"
210800000218.0,"{'position': [13.524, -5.452, 1.886], 'velocity': [-0.06, 0.204, 0.271]}"
220000000220.0,"{'position': [13.518, -5.432, 1.913], 'velocity': [-0.066, 0.203, 0.271]}"
220400000224.0,"{'position': [13.492, -5.367, 1.964], 'velocity': [-0.061, 0.151, 0.082]}"
220800000228.0,"{'position': [13.467, -5.307, 1.992], 'velocity': [-0.067, 0.151, 0.025]}"
230000000230.0,"{'position': [13.453, -5.277, 1.996], 'velocity': [-0.068, 0.15, 0.025]}"
230400000234.0,"{'position': [13.426, -5.218, 2.019], 'velocity': [-0.069, 0.146, 0.066]}"
230800000238.0,"{'position': [13.398, -5.16, 2.034], 'velocity': [-0.071, 0.141, -0.041]}"
240000000240.0,"{'position': [13.383, -5.132, 2.026], 'velocity': [-0.07, 0.142, -0.041]}"
240400000244.0,"{'position': [13.356, -5.075, 2.022], 'velocity': [-0.069, 0.143, -0.0]}"
240800000248.0,"{'position': [13.328, -5.018, 2.022], 'velocity': [-0.069, 0.143, -0.0]}"
250000000250.0,"{'position': [13.314, -4.989, 2.022], 'velocity': [-0.069, 0.143, -0.0]}"
250400000254.0,"{'position': [13.283, -4.926, 2.034], 'velocity': [-0.08, 0.162, 0.041]}"
250800000258.0,"{'position': [13.251, -4.863, 2.04], 'velocity': [-0.077, 0.15, -0.066]}"
260000000260.0,"{'position': [13.236, -4.832, 2.027], 'velocity': [-0.075, 0.151, -0.066]}"
260400000264.0,"{'position': [13.207, -4.772, 2.001], 'velocity': [-0.071, 0.153, -0.066]}"
260800000268.0,"{'position': [13.179, -4.709, 1.983], 'velocity': [-0.072, 0.166, 0.025]}"
270000000270.0,"{'position': [13.165, -4.676, 1.988], 'velocity': [-0.073, 0.165, 0.025]}"
270400000274.0,"{'position': [13.135, -4.61, 1.998], 'velocity': [-0.075, 0.165, 0.025]}"
270800000278.0,"{'position': [13.105, -4.545, 2.012], 'velocity': [-0.074, 0.158, 0.066]}"
280000000280.0,"{'position': [13.09, -4.513, 2.025], 'velocity': [-0.076, 0.157, 0.066]}"
280400000284.0,"{'position': [13.059, -4.451, 2.051], 'velocity': [-0.08, 0.155, 0.066]}"
280800000288.0,"{'position': [13.026, -4.39, 2.069], 'velocity': [-0.081, 0.148, -0.025]}"
290000000290.0,"{'position': [13.01, -4.36, 2.064], 'velocity': [-0.08, 0.148, -0.025]}"
290400000294.0,"{'position': [12.979, -4.3, 2.032], 'velocity': [-0.077, 0.152, -0.098]}"
290800000298.0,"{'position': [12.949, -4.239, 1.992], 'velocity': [-0.071, 0.154, -0.098]}"
300000000300.0,"{'position': [12.935, -4.207, 1.987], 'velocity': [-0.072, 0.164, 0.041]}"
300400000304.0,"{'position': [12.906, -4.141, 2.003], 'velocity': [-0.074, 0.163, 0.041]}"
300800000308.0,"{'position': [12.875, -4.077, 2.019], 'velocity': [-0.077, 0.162, 0.041]}"
310000000310.0,"{'position': [12.86, -4.044, 2.028], 'velocity': [-0.078, 0.161, 0.041]}"
310400000314.0,"{'position': [12.829, -3.982, 2.027], 'velocity': [-0.076, 0.154, -0.016]}"
310800000318.0,"{'position': [12.799, -3.92, 2.02], 'velocity': [-0.075, 0.155, -0.016]}"
320000000320.0,"{'position': [12.777, -3.874, 2.015], 'velocity': [-0.074, 0.155, -0.016]}"
320400000324.0,"{'position': [12.754, -3.827, 2.037], 'velocity': [-0.078, 0.157, 0.074]}"
320800000328.0,"{'position': [12.722, -3.765, 2.056], 'velocity': [-0.08, 0.15, -0.033]}"
330000000330.0,"{'position': [12.698, -3.72, 2.047], 'velocity': [-0.078, 0.151, -0.033]}"
330400000334.0,"{'position': [12.675, -3.674, 2.037], 'velocity': [-0.077, 0.151, -0.033]}"
330800000338.0,"{'position': [12.644, -3.613, 2.029], 'velocity': [-0.077, 0.156, 0.025]}"
340000000340.0,"{'position': [12.621, -3.566, 2.037], 'velocity': [-0.078, 0.156, 0.025]}"
340400000344.0,"{'position': [12.598, -3.52, 2.044], 'velocity': [-0.079, 0.155, 0.025]}"
340800000348.0,"{'position': [12.557, -3.442, 2.056], 'velocity': [-0.081, 0.154, 0.025]}"
350000000350.0,"{'position': [12.55, -3.427, 2.051], 'velocity': [-0.079, 0.15, -0.049]}"
350400000354.0,"{'position': [12.519, -3.367, 2.032], 'velocity': [-0.076, 0.151, -0.049]}"
350800000358.0,"{'position': [12.489, -3.305, 2.019], 'velocity': [-0.076, 0.158, 0.025]}"
360000000360.0,"{'position': [12.473, -3.274, 2.024], 'velocity': [-0.076, 0.158, 0.025]}"
360400000364.0,"{'position': [12.443, -3.212, 2.047], 'velocity': [-0.078, 0.155, 0.066]}"
360800000368.0,"{'position': [12.41, -3.15, 2.082], 'velocity': [-0.081, 0.149, 0.156]}"
370000000370.0,"{'position': [12.394, -3.121, 2.113], 'velocity': [-0.085, 0.147, 0.156]}"
370400000374.0,"{'position': [12.359, -3.064, 2.109], 'velocity': [-0.085, 0.141, -0.066]}"
370800000378.0,"{'position': [12.326, -3.007, 2.083], 'velocity': [-0.082, 0.143, -0.066]}"
380000000380.0,"{'position': [12.309, -2.978, 2.077], 'velocity': [-0.081, 0.147, 0.008]}"
380400000384.0,"{'position': [12.277, -2.92, 2.08], 'velocity': [-0.082, 0.147, 0.008]}"
380800000388.0,"{'position': [12.244, -2.861, 2.083], 'velocity': [-0.082, 0.147, 0.008]}"
390000000390.0,"{'position': [12.227, -2.831, 2.085], 'velocity': [-0.083, 0.147, 0.008]}"
390400000394.0,"{'position': [12.194, -2.773, 2.125], 'velocity': [-0.086, 0.143, 0.131]}"
390800000398.0,"{'position': [12.157, -2.717, 2.178], 'velocity': [-0.094, 0.139, 0.131]}"
400000000400.0,"{'position': [12.139, -2.691, 2.175], 'velocity': [-0.091, 0.127, -0.156]}"
400400000404.0,"{'position': [12.104, -2.639, 2.113], 'velocity': [-0.083, 0.133, -0.156]}"
400800000408.0,"{'position': [12.073, -2.583, 2.051], 'velocity': [-0.081, 0.151, -0.148]}"
410000000410.0,"{'position': [12.057, -2.552, 2.022], 'velocity': [-0.077, 0.153, -0.148]}"
410400000414.0,"{'position': [12.029, -2.49, 1.963], 'velocity': [-0.068, 0.157, -0.148]}"
410800000418.0,"{'position': [12.004, -2.426, 1.904], 'velocity': [-0.058, 0.161, -0.148]}"
420000000420.0,"{'position': [11.992, -2.392, 1.903], 'velocity': [-0.06, 0.182, 0.139]}"
420400000424.0,"{'position': [11.966, -2.32, 1.959], 'velocity': [-0.07, 0.178, 0.139]}"
420800000428.0,"{'position': [11.935, -2.249, 2.015], 'velocity': [-0.08, 0.174, 0.139]}"
430000000430.0,"{'position': [11.919, -2.215, 2.042], 'velocity': [-0.085, 0.172, 0.139]}"
430400000434.0,"{'position': [11.879, -2.14, 2.076], 'velocity': [-0.079, 0.145, 0.049]}"
430800000438.0,"{'position': [11.854, -2.096, 2.093], 'velocity': [-0.084, 0.148, 0.074]}"
440000000440.0,"{'position': [11.837, -2.067, 2.108], 'velocity': [-0.086, 0.147, 0.074]}"
440400000444.0,"{'position': [11.802, -2.009, 2.138], 'velocity': [-0.09, 0.144, 0.074]}"
440800000448.0,"{'position': [11.756, -1.939, 2.137], 'velocity': [-0.086, 0.132, -0.115]}"
450000000450.0,"{'position': [11.748, -1.926, 2.125], 'velocity': [-0.085, 0.133, -0.115]}"
450400000454.0,"{'position': [11.706, -1.856, 2.084], 'velocity': [-0.082, 0.144, -0.074]}"
450800000458.0,"{'position': [11.674, -1.797, 2.063], 'velocity': [-0.08, 0.148, -0.033]}"
460000000460.0,"{'position': [11.658, -1.767, 2.056], 'velocity': [-0.079, 0.149, -0.033]}"
460400000464.0,"{'position': [11.635, -1.723, 2.047], 'velocity': [-0.078, 0.15, -0.033]}"
460800000468.0,"{'position': [11.604, -1.662, 2.047], 'velocity': [-0.078, 0.155, 0.107]}"
470000000470.0,"{'position': [11.588, -1.631, 2.069], 'velocity': [-0.081, 0.153, 0.107]}"
470400000474.0,"{'position': [11.555, -1.572, 2.065], 'velocity': [-0.081, 0.148, -0.049]}"
470800000478.0,"{'position': [11.523, -1.512, 2.047], 'velocity': [-0.079, 0.151, -0.025]}"
480000000480.0,"{'position': [11.508, -1.481, 2.042], 'velocity': [-0.078, 0.152, -0.025]}"
480400000484.0,"{'position': [11.476, -1.42, 2.065], 'velocity': [-0.08, 0.152, 0.082]}"
480800000488.0,"{'position': [11.443, -1.361, 2.088], 'velocity': [-0.083, 0.146, -0.008]}"
490000000490.0,"{'position': [11.426, -1.331, 2.087], 'velocity': [-0.083, 0.146, -0.008]}"
