time,data
120800000128.0,"[0.22, 0.0, -0.581]"
130000000130.0,"[0.22, 0.0, -0.565]"
130400000134.0,"[0.22, 0.0, -1.873]"
130800000138.0,"[0.22, 0.0, -1.661]"
140000000140.0,"[0.22, 0.0, -1.238]"
140400000144.0,"[0.22, 0.0, -0.676]"
140800000148.0,"[0.22, 0.0, -0.506]"
150000000150.0,"[0.22, 0.0, -0.473]"
150400000154.0,"[0.22, 0.0, -0.369]"
150800000158.0,"[0.22, 0.0, 0.128]"
160000000160.0,"[0.22, 0.0, 0.222]"
160400000164.0,"[0.22, 0.0, 0.214]"
160800000168.0,"[0.22, 0.0, 0.155]"
170000000170.0,"[0.22, 0.0, 0.14]"
170400000174.0,"[0.22, 0.0, -0.246]"
170800000178.0,"[0.22, 0.0, 0.137]"
180000000180.0,"[0.22, 0.0, -0.137]"
180400000184.0,"[0.22, 0.0, 0.106]"
180800000188.0,"[0.22, 0.0, 0.144]"
190000000190.0,"[0.22, 0.0, -0.088]"
190400000194.0,"[0.22, 0.0, -0.143]"
190800000198.0,"[0.22, 0.0, 0.164]"
200000000200.0,"[0.22, 0.0, -0.089]"
200400000204.0,"[0.22, 0.0, -0.073]"
200800000208.0,"[0.22, 0.0, 0.112]"
210000000210.0,"[0.22, 0.0, 0.133]"
210400000214.0,"[0.22, 0.0, -0.083]"
210800000218.0,"[0.22, 0.0, -0.067]"
220000000220.0,"[0.22, 0.0, 0.112]"
220400000224.0,"[0.22, 0.0, -0.023]"
220800000228.0,"[0.22, 0.0, -0.028]"
230000000230.0,"[0.22, 0.0, -0.025]"
230400000234.0,"[0.22, 0.0, -0.008]"
230800000238.0,"[0.22, 0.0, 0.0]"
240000000240.0,"[0.22, 0.0, 0.009]"
240400000244.0,"[0.22, 0.0, -0.012]"
240800000248.0,"[0.22, 0.0, -0.019]"
250000000250.0,"[0.22, 0.0, -0.017]"
250400000254.0,"[0.22, 0.0, 0.196]"
250800000258.0,"[0.22, 0.0, -0.022]"
260000000260.0,"[0.22, 0.0, -0.064]"
260400000264.0,"[0.22, 0.0, -0.054]"
260800000268.0,"[0.22, 0.0, 0.222]"
270000000270.0,"[0.22, 0.0, 0.218]"
270400000274.0,"[0.22, 0.0, -0.059]"
270800000278.0,"[0.22, 0.0, -0.123]"
280000000280.0,"[0.22, 0.0, -0.116]"
280400000284.0,"[0.22, 0.0, -0.1]"
280800000288.0,"[0.22, 0.0, -0.069]"
290000000290.0,"[0.22, 0.0, 0.212]"
290400000294.0,"[0.22, 0.0, -0.014]"
290800000298.0,"[0.22, 0.0, -0.06]"
300000000300.0,"[0.22, 0.0, -0.06]"
300400000304.0,"[0.22, 0.0, -0.037]"
300800000308.0,"[0.22, 0.0, 0.172]"
310000000310.0,"[0.22, 0.0, 0.182]"
310400000314.0,"[0.22, 0.0, -0.048]"
310800000318.0,"[0.22, 0.0, -0.046]"
320000000320.0,"[0.22, 0.0, -0.004]"
320400000324.0,"[0.22, 0.0, -0.004]"
320800000328.0,"[0.22, 0.0, -0.0]"
330000000330.0,"[0.22, 0.0, -0.0]"
330400000334.0,"[0.22, 0.0, -0.007]"
330800000338.0,"[0.22, 0.0, -0.013]"
340000000340.0,"[0.22, 0.0, -0.021]"
340400000344.0,"[0.22, 0.0, -0.036]"
340800000348.0,"[0.22, 0.0, -0.021]"
350000000350.0,"[0.22, 0.0, 0.065]"
350400000354.0,"[0.22, 0.0, -0.049]"
350800000358.0,"[0.22, 0.0, 0.079]"
360000000360.0,"[0.22, 0.0, -0.06]"
360400000364.0,"[0.22, 0.0, -0.101]"
360800000368.0,"[0.22, 0.0, 0.079]"
370000000370.0,"[0.22, 0.0, 0.069]"
370400000374.0,"[0.22, 0.0, 0.058]"
370800000378.0,"[0.22, 0.0, 0.057]"
380000000380.0,"[0.22, 0.0, 0.062]"
380400000384.0,"[0.22, 0.0, 0.042]"
380800000388.0,"[0.22, 0.0, 0.033]"
390000000390.0,"[0.22, 0.0, -0.136]"
390400000394.0,"[0.22, 0.0, -0.005]"
390800000398.0,"[0.22, 0.0, 0.043]"
400000000400.0,"[0.22, 0.0, 0.016]"
400400000404.0,"[0.22, 0.0, -0.024]"
400800000408.0,"[0.22, 0.0, -0.029]"
410000000410.0,"[0.22, 0.0, -0.044]"
410400000414.0,"[0.22, 0.0, -0.03]"
410800000418.0,"[0.22, 0.0, -0.059]"
420000000420.0,"[0.22, 0.0, -0.076]"
420400000424.0,"[0.22, 0.0, -0.061]"
420800000428.0,"[0.22, 0.0, -0.084]"
430000000430.0,"[0.22, 0.0, -0.097]"
430400000434.0,"[0.22, 0.0, -0.062]"
430800000438.0,"[0.22, 0.0, 0.003]"
440000000440.0,"[0.22, 0.0, 0.003]"
