time,data
120800000128.0,"{'position': [13.19, -7.176, 2.455], 'velocity': [-0.18, 0.126, -0.762]}"
130000000130.0,"{'position': [13.409, -7.134, -1.694], 'velocity': [-0.014, -0.22, -0.581]}"
130400000134.0,"{'position': [13.383, -7.217, -2.311], 'velocity': [-0.115, -0.188, -1.928]}"
130800000138.0,"{'position': [13.309, -7.262, -3.054], 'velocity': [-0.212, -0.059, -1.833]}"
140000000140.0,"{'position': [13.265, -7.262, 2.897], 'velocity': [-0.219, 0.017, -1.661]}"
140400000144.0,"{'position': [13.187, -7.224, 2.451], 'velocity': [-0.179, 0.127, -0.721]}"
140800000148.0,"{'position': [13.124, -7.162, 2.218], 'velocity': [-0.142, 0.168, -0.536]}"
150000000150.0,"{'position': [13.099, -7.127, 2.114], 'velocity': [-0.123, 0.182, -0.506]}"
150400000154.0,"{'position': [13.059, -7.048, 1.93], 'velocity': [-0.086, 0.202, -0.432]}"
150800000158.0,"{'position': [13.033, -6.965, 1.783], 'velocity': [-0.054, 0.213, -0.364]}"
160000000160.0,"{'position': [13.024, -6.921, 1.71], 'velocity': [-0.038, 0.217, -0.364]}"
160400000164.0,"{'position': [13.01, -6.835, 1.788], 'velocity': [-0.043, 0.216, 0.214]}"
160800000168.0,"{'position': [12.988, -6.749, 1.867], 'velocity': [-0.061, 0.211, 0.165]}"
170000000170.0,"{'position': [12.975, -6.707, 1.898], 'velocity': [-0.068, 0.209, 0.147]}"
170400000174.0,"{'position': [12.945, -6.625, 1.954], 'velocity': [-0.079, 0.205, 0.142]}"
170800000178.0,"{'position': [12.915, -6.542, 1.895], 'velocity': [-0.068, 0.209, 0.083]}"
180000000180.0,"{'position': [12.9, -6.5, 1.922], 'velocity': [-0.073, 0.208, 0.137]}"
180400000184.0,"{'position': [12.863, -6.397, 1.874], 'velocity': [-0.069, 0.209, -0.168]}"
180800000188.0,"{'position': [12.843, -6.334, 1.913], 'velocity': [-0.071, 0.208, 0.141]}"
190000000190.0,"{'position': [12.828, -6.293, 1.942], 'velocity': [-0.077, 0.206, 0.144]}"
190400000194.0,"{'position': [12.788, -6.19, 1.906], 'velocity': [-0.075, 0.207, -0.143]}"
190800000198.0,"{'position': [12.767, -6.128, 1.915], 'velocity': [-0.072, 0.208, 0.118]}"
200000000200.0,"{'position': [12.743, -6.066, 1.963], 'velocity': [-0.081, 0.205, 0.16]}"
200400000204.0,"{'position': [12.711, -5.984, 1.925], 'velocity': [-0.078, 0.206, -0.077]}"
200800000208.0,"{'position': [12.688, -5.922, 1.905], 'velocity': [-0.073, 0.207, -0.063]}"
210000000210.0,"{'position': [12.674, -5.881, 1.91], 'velocity': [-0.071, 0.208, 0.112]}"
210400000214.0,"{'position': [12.643, -5.798, 1.943], 'velocity': [-0.081, 0.204, -0.072]}"
210800000218.0,"{'position': [12.612, -5.716, 1.913], 'velocity': [-0.075, 0.207, -0.068]}"
220000000220.0,"{'position': [12.598, -5.674, 1.899], 'velocity': [-0.072, 0.208, -0.067]}"
220400000224.0,"{'position': [12.568, -5.591, 1.944], 'velocity': [-0.078, 0.206, 0.117]}"
220800000228.0,"{'position': [12.535, -5.51, 1.944], 'velocity': [-0.081, 0.204, -0.05]}"
230000000230.0,"{'position': [12.519, -5.469, 1.936], 'velocity': [-0.079, 0.205, -0.028]}"
230400000234.0,"{'position': [12.488, -5.386, 1.928], 'velocity': [-0.077, 0.206, -0.018]}"
230800000238.0,"{'position': [12.458, -5.304, 1.926], 'velocity': [-0.076, 0.206, -0.002]}"
240000000240.0,"{'position': [12.442, -5.263, 1.941], 'velocity': [-0.08, 0.205, 0.0]}"
240400000244.0,"{'position': [12.41, -5.181, 1.943], 'velocity': [-0.08, 0.205, 0.004]}"
240800000248.0,"{'position': [12.378, -5.099, 1.938], 'velocity': [-0.079, 0.205, -0.022]}"
250000000250.0,"{'position': [12.355, -5.037, 1.932], 'velocity': [-0.078, 0.206, -0.018]}"
250400000254.0,"{'position': [12.331, -4.975, 1.926], 'velocity': [-0.077, 0.206, -0.028]}"
250800000258.0,"{'position': [12.3, -4.893, 1.963], 'velocity': [-0.085, 0.203, -0.022]}"
260000000260.0,"{'position': [12.283, -4.853, 1.955], 'velocity': [-0.084, 0.204, -0.054]}"
260400000264.0,"{'position': [12.251, -4.771, 1.929], 'velocity': [-0.079, 0.206, -0.067]}"
260800000268.0,"{'position': [12.221, -4.688, 1.906], 'velocity': [-0.074, 0.207, -0.058]}"
