time,data
110900000119.0,"[-0.197, 0.0, 0.107]"
120000000120.0,"[-0.197, 0.0, 0.107]"
120400000124.0,"[-0.197, 0.0, 0.107]"
120800000128.0,"[-0.197, 0.0, 0.107]"
130000000130.0,"[-0.197, 0.0, 0.107]"
130400000134.0,"[-0.22, 0.0, 0.148]"
130800000138.0,"[-0.22, 0.0, 0.148]"
140000000140.0,"[-0.22, 0.0, -0.008]"
140400000144.0,"[-0.22, 0.0, -0.008]"
140800000148.0,"[-0.22, 0.0, -0.008]"
150000000150.0,"[-0.197, 0.0, -0.082]"
150400000154.0,"[-0.197, 0.0, -0.082]"
150800000158.0,"[-0.197, 0.0, -0.082]"
160000000160.0,"[-0.197, 0.0, 0.008]"
160400000164.0,"[-0.197, 0.0, 0.008]"
160800000168.0,"[-0.197, 0.0, 0.008]"
170000000170.0,"[-0.197, 0.0, 0.008]"
170400000174.0,"[-0.22, 0.0, 0.049]"
170800000178.0,"[-0.22, 0.0, 0.049]"
180000000180.0,"[-0.174, 0.0, 0.041]"
180400000184.0,"[-0.197, 0.0, 0.0]"
180800000188.0,"[-0.197, 0.0, 0.0]"
190000000190.0,"[-0.22, 0.0, -0.025]"
190400000194.0,"[-0.22, 0.0, -0.025]"
190800000198.0,"[-0.22, 0.0, -0.025]"
200000000200.0,"[-0.22, 0.0, -0.025]"
200400000204.0,"[-0.174, 0.0, -0.0]"
200800000208.0,"[-0.174, 0.0, -0.0]"
210000000210.0,"[-0.22, 0.0, -0.238]"
210400000214.0,"[-0.22, 0.0, -0.238]"
210800000218.0,"[-0.22, 0.0, -0.238]"
220000000220.0,"[-0.207, 0.0, -0.098]"
220400000224.0,"[-0.196, 0.0, 0.09]"
220800000228.0,"[-0.196, 0.0, 0.09]"
230000000230.0,"[-0.2, 0.0, -0.213]"
230400000234.0,"[-0.2, 0.0, -0.213]"
230800000238.0,"[-0.2, 0.0, -0.213]"
240000000240.0,"[-0.2, 0.0, -0.213]"
240400000244.0,"[-0.124, 0.0, -0.336]"
240800000248.0,"[-0.124, 0.0, -0.336]"
250000000250.0,"[-0.151, 0.0, -0.656]"
250400000254.0,"[-0.151, 0.0, -0.656]"
250800000258.0,"[-0.151, 0.0, -0.656]"
260000000260.0,"[-0.151, 0.0, -0.656]"
260400000264.0,"[0.203, 0.0, -0.976]"
260800000268.0,"[0.203, 0.0, -0.976]"
270000000270.0,"[0.203, 0.0, -0.976]"
270400000274.0,"[0.132, 0.165, -0.706]"
270800000278.0,"[0.132, 0.165, -0.706]"
280000000280.0,"[0.127, 0.13, -0.386]"
280400000284.0,"[0.127, 0.13, -0.386]"
280800000288.0,"[0.127, 0.13, -0.386]"
290000000290.0,"[0.127, 0.13, -0.386]"
290400000294.0,"[-0.019, 0.114, -0.115]"
290800000298.0,"[-0.019, 0.114, -0.115]"
300000000300.0,"[-0.127, 0.0, 0.107]"
300400000304.0,"[-0.127, 0.0, 0.107]"
300800000308.0,"[-0.127, 0.0, 0.107]"
310000000310.0,"[-0.127, 0.0, 0.107]"
310400000314.0,"[0.126, 0.0, 0.361]"
310800000318.0,"[0.126, 0.0, 0.361]"
320000000320.0,"[0.126, 0.0, 0.361]"
320400000324.0,"[0.174, 0.125, 0.451]"
320800000328.0,"[0.174, 0.125, 0.451]"
330000000330.0,"[0.174, 0.125, 0.451]"
330400000334.0,"[0.204, 0.0, 0.345]"
330800000338.0,"[0.204, 0.0, 0.345]"
340000000340.0,"[0.204, 0.0, 0.345]"
340400000344.0,"[0.141, 0.0, 0.041]"
340800000348.0,"[0.141, 0.0, 0.041]"
350000000350.0,"[0.164, 0.0, 0.066]"
350400000354.0,"[0.164, 0.0, 0.066]"
350800000358.0,"[0.164, 0.0, 0.066]"
360000000360.0,"[0.164, 0.0, 0.066]"
360400000364.0,"[0.14, 0.0, -0.074]"
360800000368.0,"[0.14, 0.0, -0.074]"
370000000370.0,"[0.16, 0.0, -0.016]"
370400000374.0,"[0.16, 0.0, -0.016]"
370800000378.0,"[0.16, 0.0, -0.016]"
380000000380.0,"[0.131, 0.0, -0.057]"
380400000384.0,"[0.131, 0.0, -0.057]"
380800000388.0,"[0.131, 0.0, -0.057]"
390000000390.0,"[0.131, 0.0, -0.057]"
390400000394.0,"[0.175, 0.0, 0.033]"
390800000398.0,"[0.175, 0.0, 0.033]"
400000000400.0,"[0.149, 0.0, 0.057]"
400400000404.0,"[0.149, 0.0, 0.057]"
400800000408.0,"[0.149, 0.0, 0.057]"
410000000410.0,"[0.149, 0.0, 0.057]"
410400000414.0,"[0.156, 0.0, -0.082]"
410800000418.0,"[0.156, 0.0, -0.082]"
420000000420.0,"[0.156, 0.0, 0.008]"
420400000424.0,"[0.156, 0.0, 0.008]"
420800000428.0,"[0.156, 0.0, 0.008]"
430000000430.0,"[0.138, 0.0, -0.016]"
430400000434.0,"[0.169, 0.111, -0.222]"
430800000438.0,"[0.169, 0.111, -0.222]"
440000000440.0,"[0.163, 0.0, 0.049]"
440400000444.0,"[0.171, 0.0, 0.074]"
440800000448.0,"[0.171, 0.0, 0.074]"
450000000450.0,"[0.161, 0.0, 0.049]"
450400000454.0,"[0.161, 0.0, 0.049]"
450800000458.0,"[0.161, 0.0, 0.049]"
460000000460.0,"[0.161, 0.0, 0.049]"
460400000464.0,"[0.156, 0.0, -0.057]"
460800000468.0,"[0.156, 0.0, -0.057]"
470000000470.0,"[0.156, 0.0, -0.057]"
470400000474.0,"[0.144, 0.0, 0.033]"
470800000478.0,"[0.144, 0.0, 0.033]"
480000000480.0,"[0.144, 0.0, 0.033]"
480400000484.0,"[0.169, 0.0, 0.0]"
480800000488.0,"[0.169, 0.0, 0.0]"
490000000490.0,"[0.169, 0.0, 0.0]"
490400000494.0,"[0.154, 0.0, 0.041]"
490800000498.0,"[0.154, 0.0, 0.041]"
500000000500.0,"[0.16, 0.0, -0.0]"
500400000504.0,"[0.16, 0.0, -0.0]"
500800000508.0,"[0.16, 0.0, -0.0]"
510000000510.0,"[0.155, 0.0, 0.025]"
510400000514.0,"[0.155, 0.0, 0.025]"
510800000518.0,"[0.155, 0.0, 0.025]"
520000000520.0,"[0.156, 0.0, 0.033]"
520400000524.0,"[0.156, 0.0, 0.033]"
520800000528.0,"[0.156, 0.0, 0.033]"
530000000530.0,"[0.156, 0.0, 0.033]"
530400000534.0,"[0.15, 0.0, -0.09]"
530800000538.0,"[0.15, 0.0, -0.09]"
540000000540.0,"[0.157, 0.0, 0.049]"
540400000544.0,"[0.157, 0.0, 0.049]"
540800000548.0,"[0.157, 0.0, 0.049]"
550000000550.0,"[0.131, 0.0, -0.057]"
550400000554.0,"[0.167, 0.0, 0.098]"
550800000558.0,"[0.167, 0.0, 0.098]"
560000000560.0,"[0.142, 0.0, -0.074]"
560400000564.0,"[0.142, 0.0, -0.074]"
560800000568.0,"[0.142, 0.0, -0.074]"
570000000570.0,"[0.142, 0.0, -0.074]"
570400000574.0,"[0.163, 0.0, 0.0]"
570800000578.0,"[0.163, 0.0, 0.0]"
580000000580.0,"[0.133, 0.0, 0.008]"
580400000584.0,"[0.15, 0.0, 0.016]"
580800000588.0,"[0.15, 0.0, 0.016]"
590000000590.0,"[0.159, 0.0, -0.025]"
590400000594.0,"[0.159, 0.0, -0.025]"
590800000598.0,"[0.159, 0.0, -0.025]"
600000000600.0,"[0.155, 0.0, 0.016]"
600400000604.0,"[0.155, 0.0, 0.016]"
600800000608.0,"[0.155, 0.0, 0.016]"
610000000610.0,"[0.156, 0.0, 0.025]"
610400000614.0,"[0.156, 0.0, 0.025]"
610800000618.0,"[0.156, 0.0, 0.025]"
620000000620.0,"[0.153, 0.0, 0.066]"
620400000624.0,"[0.153, 0.0, -0.09]"
620800000628.0,"[0.153, 0.0, -0.09]"
630000000630.0,"[0.156, 0.0, -0.082]"
630400000634.0,"[0.158, 0.0, -0.025]"
630800000638.0,"[0.158, 0.0, -0.025]"
640000000640.0,"[0.158, 0.0, -0.025]"
640400000644.0,"[0.161, 0.0, 0.066]"
640800000648.0,"[0.161, 0.0, 0.066]"
650000000650.0,"[0.161, 0.0, 0.066]"
650400000654.0,"[0.152, 0.0, 0.008]"
650800000658.0,"[0.152, 0.0, 0.008]"
660000000660.0,"[0.155, 0.0, -0.033]"
660400000664.0,"[0.154, 0.0, -0.008]"
660800000668.0,"[0.154, 0.0, -0.008]"
670000000670.0,"[0.154, 0.0, -0.008]"
670400000674.0,"[0.156, 0.0, -0.049]"
670800000678.0,"[0.156, 0.0, -0.049]"
680000000680.0,"[0.156, 0.0, -0.049]"
680400000684.0,"[0.16, 0.0, -0.008]"
680800000688.0,"[0.16, 0.0, -0.008]"
690000000690.0,"[0.159, 0.0, 0.066]"
690400000694.0,"[0.158, 0.0, -0.041]"
690800000698.0,"[0.158, 0.0, -0.041]"
700000000700.0,"[0.159, 0.0, 0.148]"
700400000704.0,"[0.159, 0.0, 0.148]"
700800000708.0,"[0.159, 0.0, 0.148]"
710000000710.0,"[0.159, 0.0, 0.148]"
710400000714.0,"[0.143, 0.0, -0.008]"
710800000718.0,"[0.143, 0.0, -0.008]"
720000000720.0,"[0.13, 0.0, -0.115]"
720400000724.0,"[0.13, 0.0, -0.115]"
720800000728.0,"[0.13, 0.0, -0.115]"
730000000730.0,"[0.13, 0.0, -0.115]"
730400000734.0,"[0.173, 0.0, 0.09]"
730800000738.0,"[0.173, 0.0, 0.09]"
740000000740.0,"[0.146, 0.0, 0.115]"
740400000744.0,"[0.146, 0.0, 0.115]"
740800000748.0,"[0.146, 0.0, 0.115]"
750000000750.0,"[0.146, 0.0, 0.115]"
750400000754.0,"[0.145, 0.0, 0.041]"
750800000758.0,"[0.145, 0.0, 0.041]"
760000000760.0,"[0.145, 0.0, 0.041]"
760400000764.0,"[0.141, 0.0, -0.098]"
760800000768.0,"[0.141, 0.0, -0.098]"
770000000770.0,"[0.141, 0.0, -0.098]"
770400000774.0,"[0.133, 0.0, 0.025]"
770800000778.0,"[0.133, 0.0, 0.025]"
780000000780.0,"[0.159, 0.0, 0.0]"
