time,data
110900000119.0,"{'position': [13.421, -6.939, -1.741], 'velocity': [0.028, 0.188, -0.213]}"
120000000120.0,"{'position': [13.424, -6.92, -1.762], 'velocity': [0.032, 0.187, -0.213]}"
120400000124.0,"{'position': [13.438, -6.843, -1.719], 'velocity': [0.031, 0.194, 0.107]}"
120800000128.0,"{'position': [13.449, -6.765, -1.677], 'velocity': [0.023, 0.196, 0.107]}"
130000000130.0,"{'position': [13.452, -6.725, -1.655], 'velocity': [0.019, 0.196, 0.107]}"
130400000134.0,"{'position': [13.458, -6.642, -1.604], 'velocity': [0.011, 0.22, 0.148]}"
130800000138.0,"{'position': [13.459, -6.554, -1.545], 'velocity': [-0.002, 0.22, 0.148]}"
140000000140.0,"{'position': [13.458, -6.51, -1.516], 'velocity': [-0.009, 0.22, 0.148]}"
140400000144.0,"{'position': [13.453, -6.422, -1.519], 'velocity': [-0.012, 0.22, -0.008]}"
140800000148.0,"{'position': [13.448, -6.335, -1.522], 'velocity': [-0.011, 0.22, -0.008]}"
150000000150.0,"{'position': [13.446, -6.291, -1.524], 'velocity': [-0.01, 0.22, -0.008]}"
150400000154.0,"{'position': [13.444, -6.212, -1.557], 'velocity': [-0.004, 0.197, -0.082]}"
150800000158.0,"{'position': [13.443, -6.133, -1.59], 'velocity': [0.002, 0.197, -0.082]}"
160000000160.0,"{'position': [13.444, -6.094, -1.606], 'velocity': [0.005, 0.197, -0.082]}"
160400000164.0,"{'position': [13.447, -6.015, -1.603], 'velocity': [0.006, 0.197, 0.008]}"
160800000168.0,"{'position': [13.45, -5.936, -1.6], 'velocity': [0.006, 0.197, 0.008]}"
170000000170.0,"{'position': [13.451, -5.877, -1.597], 'velocity': [0.005, 0.197, 0.008]}"
170400000174.0,"{'position': [13.453, -5.818, -1.595], 'velocity': [0.005, 0.197, 0.008]}"
170800000178.0,"{'position': [13.454, -5.73, -1.575], 'velocity': [0.002, 0.22, 0.049]}"
180000000180.0,"{'position': [13.454, -5.686, -1.565], 'velocity': [-0.0, 0.22, 0.049]}"
180400000184.0,"{'position': [13.453, -5.617, -1.549], 'velocity': [-0.003, 0.174, 0.041]}"
180800000188.0,"{'position': [13.452, -5.538, -1.549], 'velocity': [-0.004, 0.197, 0.0]}"
190000000190.0,"{'position': [13.451, -5.499, -1.549], 'velocity': [-0.004, 0.197, 0.0]}"
190400000194.0,"{'position': [13.449, -5.411, -1.559], 'velocity': [-0.003, 0.22, -0.025]}"
