time,data
130000000130.0,"[-0.2, 0.0, -0.26]"
130400000134.0,"[-0.2, 0.0, -0.3]"
130800000138.0,"[-0.2, 0.0, -0.3]"
140000000140.0,"[-0.2, 0.0, -0.3]"
140400000144.0,"[-0.2, 0.0, -0.3]"
140800000148.0,"[-0.2, 0.0, -0.3]"
150000000150.0,"[-0.2, 0.0, -0.3]"
150400000154.0,"[-0.2, 0.0, -0.3]"
150800000158.0,"[-0.2, 0.0, -0.3]"
160000000160.0,"[-0.2, 0.0, -0.3]"
160400000164.0,"[-0.2, 0.0, -0.3]"
160800000168.0,"[-0.2, 0.0, -0.3]"
170000000170.0,"[-0.2, 0.0, -0.3]"
170400000174.0,"[-0.2, 0.0, -0.3]"
170800000178.0,"[-0.2, 0.0, -0.3]"
180000000180.0,"[-0.16, 0.0, -0.3]"
180400000184.0,"[-0.12, 0.0, -0.3]"
180800000188.0,"[-0.12, 0.0, -0.3]"
190000000190.0,"[-0.08, 0.0, -0.3]"
190400000194.0,"[-0.08, 0.0, -0.3]"
190800000198.0,"[-0.08, 0.0, -0.3]"
200000000200.0,"[-0.04, 0.0, -0.3]"
200400000204.0,"[0.0, 0.0, -0.26]"
200800000208.0,"[0.0, 0.0, -0.26]"
210000000210.0,"[0.0, 0.0, -0.26]"
210400000214.0,"[0.04, 0.0, -0.22]"
210800000218.0,"[0.04, 0.0, -0.22]"
220000000220.0,"[0.04, 0.0, -0.22]"
220400000224.0,"[0.04, 0.0, -0.14]"
220800000228.0,"[0.04, 0.0, -0.14]"
230000000230.0,"[0.04, 0.0, -0.14]"
230400000234.0,"[0.0, 0.0, -0.1]"
230800000238.0,"[0.0, 0.0, -0.1]"
240000000240.0,"[-0.04, 0.0, -0.06]"
240400000244.0,"[-0.08, 0.0, -0.02]"
240800000248.0,"[-0.08, 0.0, -0.02]"
250000000250.0,"[-0.08, 0.0, -0.02]"
250400000254.0,"[-0.093, 0.0, 0.02]"
250800000258.0,"[-0.093, 0.0, 0.02]"
260000000260.0,"[-0.059, 0.0, 0.06]"
260400000264.0,"[-0.059, 0.0, 0.06]"
260800000268.0,"[-0.059, 0.0, 0.06]"
270000000270.0,"[-0.059, 0.0, 0.06]"
270400000274.0,"[-0.019, 0.0, 0.1]"
270800000278.0,"[-0.019, 0.0, 0.1]"
280000000280.0,"[-0.019, 0.0, 0.1]"
280400000284.0,"[-0.019, 0.0, 0.1]"
280800000288.0,"[0.061, 0.0, 0.18]"
290000000290.0,"[0.061, 0.0, 0.18]"
290400000294.0,"[0.101, 0.0, 0.22]"
290800000298.0,"[0.101, 0.0, 0.22]"
300000000300.0,"[0.141, 0.0, 0.26]"
300400000304.0,"[0.181, 0.0, 0.22]"
300800000308.0,"[0.181, 0.0, 0.22]"
310000000310.0,"[0.181, 0.0, 0.22]"
310400000314.0,"[0.141, 0.0, 0.18]"
310800000318.0,"[0.141, 0.0, 0.18]"
320000000320.0,"[0.141, 0.0, 0.18]"
320400000324.0,"[0.101, 0.0, 0.14]"
320800000328.0,"[0.101, 0.0, 0.14]"
330000000330.0,"[0.061, 0.0, 0.1]"
330400000334.0,"[0.061, 0.0, 0.1]"
330800000338.0,"[0.061, 0.0, 0.1]"
340000000340.0,"[0.021, 0.0, 0.06]"
340400000344.0,"[0.021, 0.0, 0.06]"
340800000348.0,"[-0.019, 0.0, 0.02]"
350000000350.0,"[-0.019, 0.0, 0.02]"
350400000354.0,"[-0.059, 0.0, -0.02]"
350800000358.0,"[-0.059, 0.0, -0.02]"
360000000360.0,"[-0.099, 0.0, -0.06]"
360400000364.0,"[-0.099, 0.0, -0.06]"
360800000368.0,"[-0.099, 0.0, -0.06]"
370000000370.0,"[-0.099, 0.0, -0.06]"
370400000374.0,"[-0.066, 0.0, -0.1]"
370800000378.0,"[-0.066, 0.0, -0.1]"
380000000380.0,"[-0.066, 0.0, -0.1]"
380400000384.0,"[-0.026, 0.0, -0.14]"
380800000388.0,"[-0.026, 0.0, -0.14]"
390000000390.0,"[0.014, 0.0, -0.18]"
390400000394.0,"[0.054, 0.0, -0.22]"
390800000398.0,"[0.054, 0.0, -0.22]"
400000000400.0,"[0.094, 0.0, -0.26]"
400400000404.0,"[0.134, 0.0, -0.245]"
400800000408.0,"[0.134, 0.0, -0.245]"
410000000410.0,"[0.134, 0.0, -0.245]"
410400000414.0,"[0.174, 0.0, -0.205]"
410800000418.0,"[0.174, 0.0, -0.205]"
420000000420.0,"[0.157, 0.0, -0.165]"
420400000424.0,"[0.117, 0.0, -0.125]"
420800000428.0,"[0.117, 0.0, -0.125]"
430000000430.0,"[0.077, 0.0, -0.085]"
430400000434.0,"[0.037, 0.0, -0.045]"
430800000438.0,"[0.037, 0.0, -0.045]"
440000000440.0,"[0.037, 0.0, -0.045]"
440400000444.0,"[-0.003, 0.0, -0.005]"
440800000448.0,"[-0.003, 0.0, -0.005]"
450000000450.0,"[-0.019, 0.0, 0.035]"
450400000454.0,"[-0.019, 0.0, 0.035]"
450800000458.0,"[-0.019, 0.0, 0.035]"
460000000460.0,"[-0.019, 0.0, 0.035]"
460400000464.0,"[0.021, 0.0, 0.075]"
460800000468.0,"[0.021, 0.0, 0.075]"
470000000470.0,"[0.061, 0.0, 0.115]"
470400000474.0,"[0.061, 0.0, 0.115]"
470800000478.0,"[0.061, 0.0, 0.115]"
480000000480.0,"[0.101, 0.0, 0.155]"
480400000484.0,"[0.141, 0.0, 0.195]"
480800000488.0,"[0.141, 0.0, 0.195]"
490000000490.0,"[0.141, 0.0, 0.195]"
490400000494.0,"[0.181, 0.0, 0.166]"
490800000498.0,"[0.181, 0.0, 0.166]"
500000000500.0,"[0.221, 0.0, 0.126]"
500400000504.0,"[0.238, 0.0, 0.086]"
500800000508.0,"[0.238, 0.0, 0.086]"
510000000510.0,"[0.238, 0.0, 0.086]"
510400000514.0,"[0.198, 0.0, 0.046]"
510800000518.0,"[0.198, 0.0, 0.046]"
520000000520.0,"[0.158, 0.0, 0.006]"
520400000524.0,"[0.158, 0.0, 0.006]"
520800000528.0,"[0.158, 0.0, 0.006]"
530000000530.0,"[0.118, 0.0, -0.034]"
530400000534.0,"[0.118, 0.0, -0.034]"
530800000538.0,"[0.118, 0.0, -0.034]"
540000000540.0,"[0.158, 0.0, -0.074]"
540400000544.0,"[0.158, 0.0, -0.074]"
540800000548.0,"[0.158, 0.0, -0.074]"
550000000550.0,"[0.198, 0.0, -0.114]"
550400000554.0,"[0.198, 0.0, -0.114]"
550800000558.0,"[0.198, 0.0, -0.114]"
560000000560.0,"[0.238, 0.0, -0.154]"
560400000564.0,"[0.278, 0.0, -0.114]"
560800000568.0,"[0.318, 0.0, -0.074]"
570000000570.0,"[0.318, 0.0, -0.074]"
570400000574.0,"[0.318, 0.0, -0.074]"
570800000578.0,"[0.358, 0.0, -0.034]"
580000000580.0,"[0.358, 0.0, -0.034]"
580400000584.0,"[0.358, 0.0, -0.034]"
580800000588.0,"[0.358, 0.0, -0.034]"
590000000590.0,"[0.358, 0.0, -0.034]"
590400000594.0,"[0.318, 0.0, 0.006]"
590800000598.0,"[0.318, 0.0, 0.006]"
600000000600.0,"[0.278, 0.0, 0.046]"
600400000604.0,"[0.278, 0.0, 0.046]"
600800000608.0,"[0.278, 0.0, 0.046]"
610000000610.0,"[0.318, 0.0, 0.086]"
610400000614.0,"[0.318, 0.0, 0.086]"
610800000618.0,"[0.318, 0.0, 0.086]"
620000000620.0,"[0.318, 0.0, 0.086]"
620400000624.0,"[0.358, 0.0, 0.126]"
620800000628.0,"[0.398, 0.0, 0.086]"
630000000630.0,"[0.398, 0.0, 0.086]"
630400000634.0,"[0.4, 0.0, 0.048]"
630800000638.0,"[0.4, 0.0, 0.048]"
640000000640.0,"[0.4, 0.0, 0.008]"
640400000644.0,"[0.4, 0.0, 0.008]"
640800000648.0,"[0.4, 0.0, -0.032]"
650000000650.0,"[0.4, 0.0, -0.032]"
650400000654.0,"[0.4, 0.0, -0.032]"
650800000658.0,"[0.4, 0.0, -0.032]"
660000000660.0,"[0.4, 0.0, -0.072]"
660400000664.0,"[0.4, 0.0, -0.072]"
660800000668.0,"[0.4, 0.0, -0.032]"
670000000670.0,"[0.4, 0.0, -0.032]"
670400000674.0,"[0.4, 0.0, 0.008]"
670800000678.0,"[0.4, 0.0, 0.008]"
680000000680.0,"[0.4, 0.0, 0.048]"
680400000684.0,"[0.4, 0.0, 0.048]"
680800000688.0,"[0.4, 0.0, 0.048]"
690000000690.0,"[0.4, 0.0, 0.046]"
690400000694.0,"[0.4, 0.0, 0.01]"
690800000698.0,"[0.4, 0.0, -0.027]"
700000000700.0,"[0.4, 0.0, -0.027]"
700400000704.0,"[0.4, 0.0, -0.027]"
700800000708.0,"[0.4, 0.0, 0.011]"
710000000710.0,"[0.4, 0.0, 0.011]"
710400000714.0,"[0.4, 0.0, 0.011]"
710800000718.0,"[0.4, 0.0, 0.011]"
720000000720.0,"[0.4, 0.0, 0.048]"
720400000724.0,"[0.4, 0.0, 0.046]"
720800000728.0,"[0.4, 0.0, 0.046]"
730000000730.0,"[0.4, 0.0, 0.03]"
730400000734.0,"[0.4, 0.0, 0.007]"
730800000738.0,"[0.4, 0.0, 0.007]"
740000000740.0,"[0.4, 0.0, 0.007]"
740400000744.0,"[0.4, 0.0, 0.046]"
740800000748.0,"[0.4, 0.0, 0.046]"
750000000750.0,"[0.4, 0.0, 0.046]"
750400000754.0,"[0.4, 0.0, 0.083]"
750800000758.0,"[0.4, 0.0, 0.043]"
760000000760.0,"[0.4, 0.0, 0.043]"
760400000764.0,"[0.4, 0.0, 0.003]"
760800000768.0,"[0.4, 0.0, 0.003]"
770000000770.0,"[0.4, 0.0, 0.003]"
770400000774.0,"[0.4, 0.0, -0.037]"
770800000778.0,"[0.4, 0.0, -0.077]"
780000000780.0,"[0.4, 0.0, -0.077]"
780400000784.0,"[0.4, 0.0, -0.077]"
780800000788.0,"[0.4, 0.0, -0.077]"
790000000790.0,"[0.4, 0.0, -0.037]"
790400000794.0,"[0.4, 0.0, -0.037]"
790800000798.0,"[0.4, 0.0, -0.037]"
800000000800.0,"[0.4, 0.0, -0.037]"
800400000804.0,"[0.4, 0.0, 0.003]"
800800000808.0,"[0.4, 0.0, 0.003]"
810000000810.0,"[0.4, 0.0, 0.003]"
810400000814.0,"[0.4, 0.0, 0.043]"
810800000818.0,"[0.4, 0.0, 0.083]"
820000000820.0,"[0.4, 0.0, 0.083]"
820400000824.0,"[0.4, 0.0, 0.083]"
820800000828.0,"[0.4, 0.0, 0.083]"
830000000830.0,"[0.4, 0.0, 0.043]"
