time,data
120500000125.0,"{'position': [13.415, -7.012, -1.72], 'velocity': [0.023, 0.189, -0.3]}"
120900000129.0,"{'position': [13.426, -6.953, -1.828], 'velocity': [0.034, 0.146, -0.273]}"
130000000130.0,"{'position': [13.43, -6.938, -1.855], 'velocity': [0.038, 0.145, -0.273]}"
130400000134.0,"{'position': [13.448, -6.885, -1.965], 'velocity': [0.05, 0.131, -0.276]}"
130800000138.0,"{'position': [13.47, -6.838, -2.083], 'velocity': [0.062, 0.118, -0.3]}"
140000000140.0,"{'position': [13.483, -6.815, -2.143], 'velocity': [0.068, 0.112, -0.3]}"
140400000144.0,"{'position': [13.513, -6.774, -2.263], 'velocity': [0.079, 0.101, -0.3]}"
140800000148.0,"{'position': [13.548, -6.736, -2.383], 'velocity': [0.091, 0.092, -0.3]}"
150000000150.0,"{'position': [13.566, -6.719, -2.443], 'velocity': [0.092, 0.082, -0.3]}"
150400000154.0,"{'position': [13.6, -6.693, -2.563], 'velocity': [0.105, 0.073, -0.3]}"
150800000158.0,"{'position': [13.628, -6.676, -2.683], 'velocity': [0.055, 0.029, -0.3]}"
160000000160.0,"{'position': [13.653, -6.665, -2.743], 'velocity': [0.125, 0.057, -0.3]}"
160400000164.0,"{'position': [13.673, -6.657, -2.863], 'velocity': [0.049, 0.016, -0.3]}"
160800000168.0,"{'position': [13.709, -6.648, -2.983], 'velocity': [0.052, 0.01, -0.3]}"
170000000170.0,"{'position': [13.741, -6.644, -3.073], 'velocity': [0.132, 0.013, -0.3]}"
170400000174.0,"{'position': [13.766, -6.643, 3.12], 'velocity': [0.127, 0.001, -0.3]}"
170800000178.0,"{'position': [13.793, -6.645, 3.0], 'velocity': [0.055, -0.006, -0.3]}"
180000000180.0,"{'position': [13.815, -6.648, 2.94], 'velocity': [0.109, -0.019, -0.3]}"
180400000184.0,"{'position': [13.834, -6.653, 2.82], 'velocity': [0.049, -0.015, -0.3]}"
180800000188.0,"{'position': [13.803, -6.64, 2.67], 'velocity': [-0.069, 0.033, -0.3]}"
190000000190.0,"{'position': [13.789, -6.633, 2.61], 'velocity': [-0.076, 0.041, -0.3]}"
190400000194.0,"{'position': [13.759, -6.613, 2.49], 'velocity': [-0.08, 0.058, -0.3]}"
190800000198.0,"{'position': [13.736, -6.595, 2.4], 'velocity': [-0.074, 0.064, -0.3]}"
200000000200.0,"{'position': [13.72, -6.579, 2.345], 'velocity': [-0.08, 0.078, -0.274]}"
200400000204.0,"{'position': [13.686, -6.543, 2.25], 'velocity': [-0.077, 0.092, -0.227]}"
200800000208.0,"{'position': [13.653, -6.498, 2.163], 'velocity': [-0.081, 0.115, -0.211]}"
